id,name_enUS,name_koKR,name_frFR,name_deDE,name_zhCN,name_ruRU,name_esES,name_ptPT,nameMask,itemId_1,itemId_2,itemId_3,itemId_4,itemId_5,itemId_6,itemId_7,itemId_8,itemId_9,itemId_10,itemId_11,itemId_12,itemId_13,itemId_14,itemId_15,itemId_16,itemId_17,setSpellId_1,setSpellId_2,setSpellId_3,setSpellId_4,setSpellId_5,setSpellId_6,setSpellId_7,setSpellId_8,setThreshold_1,setThreshold_2,setThreshold_3,setThreshold_4,setThreshold_5,setThreshold_6,setThreshold_7,setThreshold_8,requiredSkillId,requiredSkillRank
189,Battlegear of Valor,,,Schlachtrüstung der Ehre,勇气,Броня Доблести,Equipo de Batalla de Valor,Equipamento de Batalhao Do Valor,4128894,16736,16734,16735,16730,16737,16731,16732,16733,0,0,0,0,0,0,0,0,0,29092,27419,0,18679,30770,0,0,0,2,6,0,8,4,0,0,0,0,0
201,Arcanist's Regalia,,,Ornat des Arkanisten,奥术师,Регалии Чародея,Atavío de Arcanista,Paramentos do Arcanista,4128894,16802,16799,16795,16800,16801,16796,16797,16798,0,0,0,0,0,0,0,0,0,9346,26175,23545,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0
202,Vestments of Prophecy,,,Gewänder der Prophezeiung,预言,Ризы Пророчества,Vestimentas de Profecía,Vestimenta Da Profecia,4128894,16811,16813,16817,16812,16814,16816,16815,16819,0,0,0,0,0,0,0,0,0,21973,21092,23550,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0
203,Felheart Raiment,,,Gewänder des Teufelsherzen,恶魔之心,Одеяния Сердца Скверны,Vestiduras Corazón Oscuro,Traje Vilcórdio,4128894,16806,16804,16805,16810,16809,16807,16808,16803,0,0,0,0,0,0,0,0,0,23554,21741,23553,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0
204,Nightslayer Armor,,,Der Nachtmeuchler,夜幕杀手,Доспехи Ночного Убийцы,Armadura de Destripador Nocturno,Armadura Do Matador Noturno,4128894,16827,16824,16825,16820,16821,16826,16822,16823,0,0,0,0,0,0,0,0,0,21874,21975,23582,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0
205,Cenarion Raiment,,,Gewänder des Cenarius,塞纳里奥,Кенарийские Одеяния,Vestiduras de Cenarius,Traje Cenariano,4128894,16828,16829,16830,16833,16831,16834,16835,16836,0,0,0,0,0,0,0,0,0,18382,23556,23557,0,0,0,0,0,5,8,3,0,0,0,0,0,0,0
206,Giantstalker Armor,,,Rüstung des Riesenjägers,巨人追猎者,Доспехи Истребителя Великанов,Armadura de Acechagigantes,Armadura do Espreita-Gigantes,4128894,16851,16849,16850,16845,16848,16852,16846,16847,0,0,0,0,0,0,0,0,0,23560,23566,21926,0,0,0,0,0,3,8,5,0,0,0,0,0,0,0
207,The Earthfury,,,Die Wut der Erde,大地之怒,Гнев Земли,Furia de la Tierra,A Terrafúria,4128894,16838,16837,16840,16841,16844,16839,16842,16843,0,0,0,0,0,0,0,0,0,23572,21895,52893,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0
208,Lawbringer Armor,,,Rüstung der Gerechtigkeit,秩序之源,Доспехи Судии,Armadura de Justiciero,Armadura Do Mantenedor Da Lei,4128894,16858,16859,16857,16853,16860,16854,16855,16856,0,0,0,0,0,0,0,0,0,9317,18382,21747,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0
209,Battlegear of Might,,,Schlachtrüstung der Macht,力量,Броня Мощи,Equipo de Batalla de Poderío,Equipamento de Batalha Do Poder,4128894,16864,16861,16865,16863,16866,16867,16868,16862,0,0,0,0,0,0,0,0,0,23562,21838,23561,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0
210,Netherwind Regalia,,,Gewänder des Netherwinds,灵风,Регалия Ветра Пустоты,Atavío Viento Abisal,Paramentos Do Vento Etéreo,4128894,16818,16918,16912,16914,16917,16913,16915,16916,0,0,0,0,0,0,0,0,0,21879,23549,22007,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0
211,Vestments of Transcendence,,,Gewänder der Erhabenheit,卓越,Ризы Превосходства,Vestimentas de Trascendencia,Vestimenta Da Transcendência,4128894,16925,16926,16919,16921,16920,16922,16924,16923,0,0,0,0,0,0,0,0,0,21853,21894,22010,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0
212,Nemesis Raiment,,,Gewänder des Nemesis,复仇,Одеяния Возмездия,Vestiduras de la Némesis,Traje Da Nêmesis,4128894,16933,16927,16934,16928,16930,16931,16929,16932,0,0,0,0,0,0,0,0,0,21922,23555,0,14047,0,0,0,0,5,8,0,3,0,0,0,0,0,0
213,Bloodfang Armor,,,Blutfangrüstung,血牙,Доспехи Кровавых Клыков,Armadura Colmillo de Sangre,Armadura Dentessangue,4128894,16910,16906,16911,16905,16907,16908,16909,16832,0,0,0,0,0,0,0,0,0,23558,21881,23581,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0
214,Stormrage Raiment,,,Gewänder des Sturmgrimm,怒风,Одеяния Ярости Бури,Vestiduras de Tempestira,Traje Tempesfúria,4128894,16903,16898,16904,16897,16900,16899,16901,16902,0,0,0,0,0,0,0,0,0,21894,21872,21871,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0
215,Dragonstalker Armor,,,Rüstung des Drachenjägers,巨龙追猎者,Доспехи Охотника на Драконов,Armadura de Acechadragón,Armadura do Espreita-Dragão,4128894,16936,16935,16942,16940,16941,16939,16938,16937,0,0,0,0,0,0,0,0,0,21928,23578,23559,0,0,0,0,0,5,8,3,0,0,0,0,0,0,0
216,Garb of the Ten Storms,,,Die zehn Stürme,无尽风暴,Одеяние Десяти Бурь,Atuendo de las Diez Tormentas,Trajes das Dez Tempestades,4128894,16944,16943,16950,16945,16948,16949,16947,16946,0,0,0,0,0,0,0,0,0,51864,51868,51870,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0
217,Judgement Armor,,,Rüstung des Richturteils,审判,Доспехи Правосудия,Armadura de la Sentencia,Armadura Do Julgamento,4128894,16952,16951,16958,16955,16956,16954,16957,16953,0,0,0,0,0,0,0,0,0,18037,51807,51809,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0
218,Battlegear of Wrath,,,Schlachtrüstung des Zorns,愤怒,Броня Гнева,Equipo de Batalla de la Cólera,Equipamento de Batalha Da Ira,4128894,16959,16966,16964,16963,16962,16961,16965,16960,0,0,0,0,0,0,0,0,0,23563,21890,23548,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0
221,Garb of Thero-shan,,,Thero-shan's Gewand,塞奥沙套装,Одеяния Теро-шана,Atuendo de Thero-shan,Trajes de Thero-Shan,4128894,7950,7948,7952,7951,7953,7949,0,0,0,0,0,0,0,0,0,0,0,7597,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
241,Shard of the Gods,,,Splitter der Götter,天神碎片,Осколок Богов,Fragmentos de los Dioses,Estilhaço Dos Deuses,4128894,17082,17064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18681,21629,21603,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
261,Spirit of Eskhandar,,,Seele des Eskhandar,艾斯卡达尔之魂,Дух Эсхандара,Espíritu de Eskhandar,Espírito de Eskhandar,4128894,18203,18202,18204,18205,0,0,0,0,0,0,0,0,0,0,0,0,0,22648,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
281,Champion's Battlegear,,,Schlachtrüstung des Feldherren,勇士的战甲,Броня Защитника,Equipo de Batalla de Campeón,Equipamento de Batalha Do Campeão,4128894,16509,16510,16513,16515,16514,16516,0,0,0,0,0,0,0,0,0,0,0,13665,14462,22738,45530,0,0,0,0,2,6,4,2,0,0,0,0,0,0
282,Lieutenant Commander's Battlegear,,,Schlachtrüstung des Feldkommandanten,少校的战甲,Броня Лейтенанта-Командора,Equipo de Batalla de Teniente Coronel,Equipamento de Batalha do Tenente-Comandante,4128894,16405,16406,16430,16431,16429,16432,0,0,0,0,0,0,0,0,0,0,0,13665,14462,22738,45530,0,0,0,0,2,6,4,2,0,0,0,0,0,0
301,Champion's Earthshaker,,,Erderschütterer des Feldherren,勇士的震撼,Землекрушитель Защитника,Sacudetierra de Campeón,Treme-Terra do Campeão,4128894,16519,16518,16522,16523,16521,16524,0,0,0,0,0,0,0,0,0,0,0,14049,14462,22804,45530,0,0,0,0,2,6,4,2,0,0,0,0,0,0
321,Imperial Plate,,,Stolz des Imperiums,君王板甲,Имперские Латы,Placas Imperiales,Placa Imperial,4128894,12424,12426,12425,12422,12427,12429,12428,65007,0,0,0,0,0,0,0,0,0,15666,9335,14465,13665,0,0,0,0,2,4,6,8,0,0,0,0,0,0
341,Champion's Regalia,,,Ornat des Feldherren,勇士的法衣,Регалии Защитника,Atavío de Campeón,Paramentos Do Campeão,4128894,16485,16487,16491,16490,16489,16492,0,0,0,0,0,0,0,0,0,0,0,14047,23025,14462,45530,0,0,0,0,2,4,6,6,0,0,0,0,0,0
342,Champion's Raiment,,,Gewandung des Feldherren,勇士的神服,Одеяния Защитника,Vestiduras de Campeón,Traje Do Campeão,4128894,17616,17617,17612,17611,17613,17610,0,0,0,0,0,0,0,0,0,0,0,14047,23044,14462,45530,0,0,0,0,2,4,6,6,0,0,0,0,0,0
343,Lieutenant Commander's Regalia,,,Ornat des Feldkommandanten,少校的法衣,Регалии Лейтенанта-Командора,Atavío de Teniente Coronel,Paramentos do Tenente-Comandante,4128894,16369,16391,16413,16414,16416,16415,0,0,0,0,0,0,0,0,0,0,0,14047,23025,14462,45530,0,0,0,0,2,4,6,6,0,0,0,0,0,0
344,Lieutenant Commander's Raiment,,,Gewandung des Feldkommandanten,少校的神服,Одеяния Лейтенанта-Командора,Vestiduras de Teniente Coronel,Traje do Tenente-Comandante,4128894,17594,17596,17600,17599,17598,17601,0,0,0,0,0,0,0,0,0,0,0,23044,14047,14462,45530,0,0,0,0,4,2,6,6,0,0,0,0,0,0
345,Champion's Threads,,,Robe des Feldherren,勇士的魔装,Нити Защитника,Vestuario de Campeón,Andrajos Do Campeão,4128894,17576,17577,17572,17571,17570,17573,0,0,0,0,0,0,0,0,0,0,0,14047,14462,23047,45530,0,0,0,0,2,6,4,6,0,0,0,0,0,0
346,Lieutenant Commander's Threads,,,Roben des Feldkommandanten,少校的魔装,Нити Лейтенанта-Командора,Vestuario de Teniente Coronel,Andrajos do Tenente-Comandante,4128894,17562,17564,17568,17567,17569,17566,0,0,0,0,0,0,0,0,0,0,0,14047,14462,23047,45530,0,0,0,0,2,6,4,6,0,0,0,0,0,0
347,Champion's Vestments,,,Gewänder des Feldherren,勇士的制服,Одеяния Защитника,Vestimentas de Campeón,Vestimenta Do Campeão,4128894,16498,16499,16505,16508,16506,16507,0,0,0,0,0,0,0,0,0,0,0,13665,14462,23048,45530,0,0,0,0,2,6,4,6,0,0,0,0,0,0
348,Lieutenant Commander's Vestments,,,Gewänder des Feldkommandanten,少校的制服,Облачение Лейтенанта-Командора,Vestimentas de Teniente Coronel,Vestimenta do Tenente-Comandante,4128894,16392,16396,16417,16419,16420,16418,0,0,0,0,0,0,0,0,0,0,0,13665,23048,14462,45530,0,0,0,0,2,4,6,6,0,0,0,0,0,0
361,Champion's Pursuit,,,Lohn des Feldherren,勇士的猎装,Облачение Защитника,Persecución de Campeón,Perseguição Do Campeão,4128894,16531,16530,16525,16527,16526,16528,0,0,0,0,0,0,0,0,0,0,0,13665,23158,14462,45530,0,0,0,0,2,4,6,6,0,0,0,0,0,0
362,Lieutenant Commander's Pursuit,,,Lohn des Feldkommandanten,少校的猎装,Облачение Лейтенанта-Командора,Persecución de Teniente Coronel,Perseguição do Tenente-Comandante,4128894,16425,16426,16401,16403,16428,16427,0,0,0,0,0,0,0,0,0,0,0,13665,23158,14462,45530,0,0,0,0,2,4,6,6,0,0,0,0,0,0
381,Lieutenant Commander's Sanctuary,,,Zierat des Feldkommandanten,少校的圣装,Снаряжение Лейтенанта-Командора,Santuario de Teniente Coronel,Santuário do Tenente-Comandante,4128894,16423,16424,16422,16421,16393,16397,0,0,0,0,0,0,0,0,0,0,0,14049,23218,14462,45530,0,0,0,0,2,4,6,6,0,0,0,0,0,0
382,Champion's Sanctuary,,,Zierat des Feldherren,勇士的圣装,Снаряжение Защитника,Santuario de Campeón,Santuário Do Campeão,4128894,16494,16496,16504,16502,16503,16501,0,0,0,0,0,0,0,0,0,0,0,23218,14049,14462,45530,0,0,0,0,4,2,6,6,0,0,0,0,0,0
383,Warlord's Battlegear,,,Schlachtrüstung des Kriegsfürsten,督军的战甲,Броня Вождя,Equipo de Batalla de Señor de la Guerra,Equipamento de Batalha Do Senhor Da Guerra,4128894,16541,16542,16544,16545,16548,16543,0,0,0,0,0,0,0,0,0,0,0,14049,22738,14467,45530,0,0,0,0,6,3,2,2,0,0,0,0,0,0
384,Field Marshal's Battlegear,,,Schlachtrüstung des Feldmarschalls,元帅的战甲,Броня Фельдмаршала,Equipo de Batalla de Mariscal de Campo,Equipamento de Batalha do Marechal-de-Campo,4128894,16477,16478,16480,16483,16484,16479,0,0,0,0,0,0,0,0,0,0,0,14467,22738,14049,45530,0,0,0,0,2,3,6,2,0,0,0,0,0,0
386,Warlord's Earthshaker,,,Erderschütterer des Kriegsfürsten,督军的震撼,Землекрушитель Вождя,Sacudetierra de Señor de la Guerra,Treme-Terra do Senhor da Guerra,4128894,16577,16578,16580,16573,16574,16579,0,0,0,0,0,0,0,0,0,0,0,22804,14467,14049,45530,0,0,0,0,3,2,6,2,0,0,0,0,0,0
387,Warlord's Regalia,,,Ornat des Kriegsfürsten,督军的法衣,Регалии Вождя,Atavío de Señor de la Guerra,Paramentos Do Senhor Da Guerra,4128894,16536,16533,16535,16539,16540,16534,0,0,0,0,0,0,0,0,0,0,0,14047,14467,23025,45530,0,0,0,0,6,2,3,2,0,0,0,0,0,0
388,Field Marshal's Regalia,,,Ornat des Feldmarschalls,元帅的法衣,Регалии Фельдмаршала,Atavío de Mariscal de Campo,Paramentos do Marechal-de-Campo,4128894,16441,16444,16443,16437,16440,16442,0,0,0,0,0,0,0,0,0,0,0,14047,14467,23025,45530,0,0,0,0,6,2,3,2,0,0,0,0,0,0
389,Field Marshal's Raiment,,,Gewandung des Feldmarschalls,元帅的神服,Одеяния Фельдмаршала,Vestiduras de Mariscal de Campo,Traje do Marechal-de-Campo,4128894,17604,17603,17605,17608,17607,17602,0,0,0,0,0,0,0,0,0,0,0,14047,14467,23044,45530,0,0,0,0,6,2,3,2,0,0,0,0,0,0
390,Warlord's Raiment,,,Gewandung des Kriegsfürsten,督军的神服,Облачение Вождя,Vestiduras de Señor de la Guerra,Traje Do Senhor Da Guerra,4128894,17623,17625,17622,17624,17618,17620,0,0,0,0,0,0,0,0,0,0,0,23044,14047,14467,45530,0,0,0,0,3,6,2,2,0,0,0,0,0,0
391,Warlord's Threads,,,Roben des Kriegsfürsten,督军的魔装,Нити Вождя,Vestuario de Señor de la Guerra,Andrajos Do Senhor Da Guerra,4128894,17586,17588,17593,17591,17590,17592,0,0,0,0,0,0,0,0,0,0,0,14467,23047,14047,45530,0,0,0,0,2,3,6,2,0,0,0,0,0,0
392,Field Marshal's Threads,,,Roben des Feldmarschalls,元帅的魔装,Нити Фельдмаршала,Vestuario de Mariscal de Campo,Andrajos do Marechal-de-Campo,4128894,17581,17580,17583,17584,17579,17578,0,0,0,0,0,0,0,0,0,0,0,14047,23047,14467,45530,0,0,0,0,6,3,2,2,0,0,0,0,0,0
393,Warlord's Vestments,,,Gewänder des Kriegsfürsten,督军的制服,Облачение Полководца,Vestimentas de Señor de la Guerra,Vestimenta Do Senhor Da Guerra,4128894,16563,16561,16562,16564,16560,16558,0,0,0,0,0,0,0,0,0,0,0,14467,23048,14049,45530,0,0,0,0,2,3,6,2,0,0,0,0,0,0
394,Field Marshal's Vestments,,,Gewänder des Feldmarschalls,元帅的制服,Одеяния Фельдмаршала,Vestimentas de Mariscal de Campo,Vestimenta do Marechal-de-Campo,4128894,16453,16457,16455,16446,16454,16456,0,0,0,0,0,0,0,0,0,0,0,14049,23048,14467,45530,0,0,0,0,6,3,2,2,0,0,0,0,0,0
395,Field Marshal's Pursuit,,,Lohn des Feldmarschalls,元帅的猎装,Облачение Фельдмаршала,Persecución de Mariscal de Campo,Perseguição do Marechal-de-Campo,4128894,16466,16465,16468,16462,16463,16467,0,0,0,0,0,0,0,0,0,0,0,23158,14384,14467,45530,0,0,0,0,3,6,2,2,0,0,0,0,0,0
396,Warlord's Pursuit,,,Lohn des Kriegsfürsten,督军的猎装,Облачение Вождя,Persecución de Señor de la Guerra,Perseguição Do Senhor Da Guerra,4128894,16569,16571,16567,16565,16566,16568,0,0,0,0,0,0,0,0,0,0,0,14467,14384,23158,45530,0,0,0,0,2,6,3,2,0,0,0,0,0,0
397,Field Marshal's Sanctuary,,,Zierat des Feldmarschalls,元帅的圣装,Снаряжение Фельдмаршала,Santuario del Mariscal de Campo,Santuário do Marechal-de-Campo,4128894,16452,16451,16449,16459,16448,16450,0,0,0,0,0,0,0,0,0,0,0,14467,14049,23218,45530,0,0,0,0,2,6,3,2,0,0,0,0,0,0
398,Warlord's Sanctuary,,,Zierat des Kriegsfürsten,督军的圣装,Снаряжение Военачальника,Santuario de Señor de la Guerra,Santuário Do Senhor Da Guerra,4128894,16554,16555,16552,16551,16549,16550,0,0,0,0,0,0,0,0,0,0,0,23218,14049,14467,45530,0,0,0,0,3,6,2,2,0,0,0,0,0,0
401,Lieutenant Commander's Aegis,,,Aegis des Feldkommandanten,少校的庇护,Эгида Лейтенанта-Командора,Égida de Teniente Coronel,Édige do Tenente-Comandante,4128894,16410,16409,16433,16435,16434,16436,0,0,0,0,0,0,0,0,0,0,0,28118,7496,14462,23302,45530,0,0,0,2,2,6,4,6,0,0,0,0,0
402,Field Marshal's Aegis,,,Aegis des Feldmarschalls,元帅的庇护,Эгида Фельдмаршала,Égida de Mariscal de Campo,Égide do Marechal-de-Campo,4128894,16473,16474,16476,16472,16471,16475,0,0,0,0,0,0,0,0,0,0,0,23302,14467,14047,45530,0,0,0,0,3,2,6,6,0,0,0,0,0,0
421,Bloodvine Garb,,,Blutrebengewand,血藤,Одеяния Кровавой Лозы,Atuendo de Vid de Sangre,Trajes de Vinassangre,4128894,19682,19683,19684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45501,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,197,300
441,Primal Batskin,,,Urzeitliche Fledermaushaut,原始蝙蝠皮套装,Простая Шкура Нетопыря,Piel de Murciélago Primigenia,Pele de Morcego Primeva,4128894,19685,19687,19686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24090,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,165,300
442,Blood Tiger Harness,,,Harnisch des Bluttigers,血虎,Доспехи Кровавого Тигра,Arnés de Tigre de Sangre,Arnês Do Tigre Sangrento,4128894,19688,19689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45498,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,165,300
443,Bloodsoul Embrace,,,Umarmung der Blutseele,血魂的拥抱,Объятия Кровавого Духа,Abrazo de Alma de Sangre,Abraço Almassangre,4128894,19690,19691,19692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21636,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
444,The Darksoul,,,Die dunkle Seele,黑暗之魂,Темная Душа,El Almanegra,O Almanegra,4128894,19693,19694,19695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21416,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,164,300
461,The Twin Blades of Hakkari,,,Die Zwillingsklingen von Hakkari,哈卡莱双刃,Парные Клинки Хаккари,Las Hojas Gemelas de Hakkari,As Lâminas Gêmeas de Hakkari,4128894,19865,19866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15763,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
462,Zanzil's Concentration,,,Zanzils Konzentration,赞吉尔的专注,Сосредоточение Занзила,Concentración de Zanzil,Concentração de Zanzil,4128894,19905,19893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23727,9396,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
